nh,clust,Source_of_item
13,4079,1.74980057982641e+100
14,4079,1
14,4079,1.74980057982641e+100
15,4079,1
15,4079,1.74980057982641e+100
15,4079,1.74980057982641e+100
15,4079,1
15,4079,3
16,4079,1
16,4079,1.74980057982641e+100
16,4079,1
16,4079,1.74980057982641e+100
16,4079,3
16,4079,1.74980057982641e+100
16,4079,1.74980057982641e+100
16,4079,1.74980057982641e+100
16,4079,1.74980057982641e+100
16,4079,1
17,4079,1
17,4079,1.74980057982641e+100
17,4079,1.74980057982641e+100
18,4079,1
18,4079,1.74980057982641e+100
18,4079,1.74980057982641e+100
18,4079,1.74980057982641e+100
19,4079,1
19,4079,1
19,4079,1
19,4079,1.74980057982641e+100
19,4079,1.74980057982641e+100
20,4079,3
20,4079,1
20,4079,1.74980057982641e+100
20,4079,1.74980057982641e+100
20,4079,1.74980057982641e+100
1,4081,1
1,4081,1.74980057982641e+100
1,4081,1.74980057982641e+100
1,4081,1.74980057982641e+100
2,4081,1
2,4081,1
2,4081,1.74980057982641e+100
2,4081,1
3,4081,1.74980057982641e+100
3,4081,3
4,4081,1.74980057982641e+100
4,4081,1.74980057982641e+100
5,4081,1.74980057982641e+100
5,4081,1.74980057982641e+100
5,4081,1.74980057982641e+100
6,4081,1.74980057982641e+100
6,4081,1.74980057982641e+100
6,4081,1.74980057982641e+100
7,4081,1
7,4081,1.74980057982641e+100
7,4081,1.74980057982641e+100
8,4081,1.74980057982641e+100
8,4081,1.74980057982641e+100
8,4081,1.74980057982641e+100
9,4081,1
9,4081,1.74980057982641e+100
10,4081,1.74980057982641e+100
10,4081,1.74980057982641e+100
10,4081,1.74980057982641e+100
11,4081,1
11,4081,1.74980057982641e+100
11,4081,1.74980057982641e+100
11,4081,1.74980057982641e+100
12,4081,1.74980057982641e+100
12,4081,1.74980057982641e+100
12,4081,1
12,4081,1.74980057982641e+100
13,4081,1
13,4081,1.74980057982641e+100
13,4081,1.74980057982641e+100
14,4081,1.74980057982641e+100
14,4081,1.74980057982641e+100
15,4081,1.74980057982641e+100
15,4081,1.74980057982641e+100
16,4081,1.74980057982641e+100
18,4081,1
18,4081,1.74980057982641e+100
18,4081,1
19,4081,1
19,4081,1.74980057982641e+100
19,4081,1.74980057982641e+100
19,4081,1
20,4081,1
20,4081,1.74980057982641e+100
20,4081,1.74980057982641e+100
20,4081,1.74980057982641e+100
3,4084,1
11,4084,1
11,4084,1
11,4084,1
2,4089,1
2,4089,1
2,4089,1.74980057982641e+100
2,4089,1
2,4089,1.74980057982641e+100
3,4089,1.74980057982641e+100
5,4089,1
5,4089,1
5,4089,1.74980057982641e+100
5,4089,1.74980057982641e+100
7,4089,1
7,4089,1
7,4089,1.74980057982641e+100
7,4089,1.74980057982641e+100
7,4089,1
7,4089,1.74980057982641e+100
7,4089,1.74980057982641e+100
7,4089,1.74980057982641e+100
9,4089,1
9,4089,1
9,4089,1.74980057982641e+100
9,4089,1.74980057982641e+100
9,4089,1
10,4089,1
10,4089,1
10,4089,1.74980057982641e+100
12,4089,1
12,4089,1.74980057982641e+100
12,4089,1.74980057982641e+100
12,4089,1
12,4089,1.74980057982641e+100
12,4089,1.74980057982641e+100
13,4089,1
14,4089,1
14,4089,1.74980057982641e+100
15,4089,1.74980057982641e+100
16,4089,1
16,4089,1.74980057982641e+100
16,4089,1.74980057982641e+100
16,4089,1
