nh,clust,Honey
18,4512,0
19,4512,0
20,4512,0
21,4512,0
22,4512,0
1,4515,0
2,4515,0
3,4515,60000
4,4515,0
5,4515,0
6,4515,0
7,4515,0
8,4515,0
9,4515,0
10,4515,0
11,4515,0
12,4515,0
13,4515,0
14,4515,0
15,4515,0
16,4515,0
17,4515,0
18,4515,0
19,4515,0
20,4515,0
1,4519,0
2,4519,0
3,4519,0
4,4519,0
5,4519,0
6,4519,0
7,4519,0
8,4519,0
9,4519,0
10,4519,0
11,4519,0
12,4519,0
13,4519,0
14,4519,0
15,4519,0
16,4519,0
17,4519,0
18,4519,0
19,4519,0
20,4519,0
1,4522,0
2,4522,0
3,4522,0
4,4522,0
5,4522,0
6,4522,0
7,4522,0
8,4522,0
9,4522,0
10,4522,0
11,4522,0
12,4522,0
13,4522,0
14,4522,0
15,4522,0
16,4522,0
17,4522,0
18,4522,0
19,4522,0
20,4522,0
2,4525,0
3,4525,0
4,4525,0
5,4525,0
6,4525,0
7,4525,0
8,4525,0
9,4525,0
10,4525,0
11,4525,0
12,4525,0
13,4525,0
14,4525,0
15,4525,0
16,4525,0
17,4525,0
18,4525,0
19,4525,0
20,4525,0
1,4529,0
2,4529,0
3,4529,0
4,4529,0
5,4529,0
6,4529,0
7,4529,0
8,4529,0
9,4529,0
10,4529,0
11,4529,0
14,4529,0
15,4529,0
16,4529,0
17,4529,0
18,4529,0
19,4529,0
20,4529,0
21,4529,0
22,4529,0
1,4532,0
3,4532,0
4,4532,0
5,4532,0
6,4532,0
7,4532,0
8,4532,7000
9,4532,0
10,4532,0
11,4532,0
12,4532,0
13,4532,0
14,4532,0
15,4532,0
16,4532,0
17,4532,0
18,4532,0
19,4532,0
20,4532,0
1,4535,0
2,4535,0
3,4535,0
4,4535,0
5,4535,0
6,4535,0
7,4535,0
8,4535,0
9,4535,0
10,4535,0
11,4535,0
12,4535,0
13,4535,0
14,4535,0
15,4535,0
16,4535,0
17,4535,0
18,4535,0
19,4535,2500
20,4535,0
1,4539,0
2,4539,0
3,4539,0
4,4539,0
5,4539,0
6,4539,0
7,4539,0
8,4539,0
9,4539,0
10,4539,0
11,4539,0
12,4539,0
13,4539,0
14,4539,0
15,4539,0
16,4539,0
17,4539,0
18,4539,0
19,4539,0
20,4539,0
1,4542,15000
2,4542,0
3,4542,0
4,4542,0
5,4542,0
6,4542,0
7,4542,0
8,4542,0
9,4542,0
10,4542,0
11,4542,0
12,4542,0
13,4542,0
14,4542,0
15,4542,0
16,4542,0
17,4542,0
18,4542,0
19,4542,0
20,4542,0
1,4545,30000
2,4545,0
3,4545,0
5,4545,0
6,4545,0
7,4545,0
8,4545,0
9,4545,0
10,4545,0
11,4545,0
12,4545,0
13,4545,0
14,4545,0
15,4545,0
16,4545,0
17,4545,0
