nh,clust,Amount_withdrawn_from_savings
19,4595,0
19,4595,0
20,4595,0
1,4599,0
6,4599,0
6,4599,0
11,4599,5e+05
11,4599,0
12,4599,4e+05
15,4599,0
16,4599,0
19,4599,50000
20,4599,0
20,4599,0
20,4599,0
3,4602,0
5,4602,15000
9,4602,1e+05
8,4605,0
9,4605,3200000
10,4605,80000
16,4605,55000
16,4605,0
18,4605,1e+05
20,4605,50000
20,4605,1e+05
23,4605,0
25,4605,3e+05
1,4609,0
14,4609,30000
2,4612,0
7,4612,50000
13,4612,650000
16,4612,0
17,4612,2e+05
22,4612,2e+06
2,4615,0
3,4615,5e+05
4,4615,0
4,4615,6e+05
8,4615,0
14,4615,9e+05
14,4615,0
14,4615,0
14,4615,0
14,4615,650000
14,4615,50000
15,4615,40000
20,4615,0
22,4615,140000
23,4615,0
11,4619,5e+05
14,4619,35000
1,4622,8e+05
3,4622,5e+05
4,4622,0
5,4622,5500000
7,4622,280000
7,4622,75000
10,4622,2e+05
11,4622,220000
14,4622,0
14,4622,450000
15,4622,0
17,4622,0
18,4622,1500000
6,4625,120000
7,4625,0
16,4625,50000
17,4625,104000
19,4625,0
6,4629,3e+05
9,4629,180000
13,4629,0
15,4629,90000
16,4629,180000
18,4629,0
18,4629,0
19,4629,0
21,4629,0
25,4629,0
1,4632,210000
7,4632,360000
13,4632,0
16,4632,5200000
16,4632,0
3,4635,162000
9,4635,30000
11,4635,250000
13,4635,3345000
20,4635,708000
1,4639,150000
10,4639,2e+05
11,4639,0
12,4639,0
23,4639,0
2,4642,2200000
4,4642,0
7,4642,1445800
12,4642,0
12,4642,0
4,4645,0
4,4645,5600000
7,4645,0
8,4645,0
8,4645,0
9,4645,2e+05
13,4645,0
13,4645,0
15,4645,0
19,4645,0
20,4645,0
24,4645,0
25,4645,3500000
3,4649,2e+06
6,4649,1e+05
6,4649,4e+05
7,4649,350000
10,4649,8e+05
15,4649,6e+05
15,4649,80000
16,4649,0
3,4652,550000
20,4652,450000
21,4652,1.74980057982641e+100
1,4655,0
10,4655,68000
14,4655,160000
17,4655,5e+05
20,4655,80000
1,4659,1.74980057982641e+100
3,4659,1.74980057982641e+100
5,4659,0
6,4659,3e+05
7,4659,5e+05
8,4659,360000
10,4659,5e+06
12,4659,35000
15,4659,2300000
18,4659,6e+05
20,4659,60000
1,4662,1.74980057982641e+100
2,4662,0
5,4662,1.74980057982641e+100
18,4662,0
19,4662,720000
21,4662,1.74980057982641e+100
5,4665,1e+05
6,4665,1.74980057982641e+100
7,4665,0
8,4665,66000
10,4665,0
