nh,clust,Processed_food_code,Sell_any_processed_food
2,4405,1,2
3,4405,1,2
3,4405,11,2
4,4405,1,2
5,4405,1,2
5,4405,11,2
6,4405,1,2
7,4405,1,2
8,4405,1,2
8,4405,11,2
9,4405,1,2
9,4405,11,2
10,4405,1,2
11,4405,1,2
12,4405,1,2
13,4405,1,2
13,4405,11,1
14,4405,1,2
14,4405,11,1
15,4405,1,2
16,4405,1,2
16,4405,11,2
17,4405,1,2
18,4405,1,2
18,4405,10,2
19,4405,3,2
19,4405,8,2
19,4405,10,2
19,4405,11,2
20,4405,1,2
20,4405,8,2
20,4405,11,2
1,4408,10,2
4,4408,10,2
6,4408,8,2
6,4408,10,2
6,4408,10,2
7,4408,8,2
7,4408,10,2
11,4408,8,2
11,4408,10,2
11,4408,10,1
13,4408,8,2
13,4408,10,2
15,4408,8,2
16,4408,10,2
18,4408,8,2
1,4412,1,2
1,4412,10,2
2,4412,1,2
3,4412,1,2
3,4412,10,2
3,4412,10,2
4,4412,1,2
4,4412,10,1
5,4412,1,2
5,4412,10,1
6,4412,1,2
7,4412,1,2
7,4412,8,2
7,4412,10,2
8,4412,1,2
8,4412,10,1
9,4412,1,2
9,4412,5,1
9,4412,10,1
10,4412,1,2
10,4412,10,2
11,4412,1,2
11,4412,10,2
12,4412,1,2
12,4412,10,2
13,4412,1,1
13,4412,10,2
14,4412,1,2
14,4412,10,1
15,4412,1,1
15,4412,5,2
15,4412,10,1
16,4412,1,2
16,4412,10,2
17,4412,1,2
17,4412,10,1
18,4412,1,2
18,4412,10,1
19,4412,1,2
20,4412,1,1
20,4412,10,1
1,4415,1,2
2,4415,11,1
3,4415,1,2
4,4415,1,2
5,4415,1,1
6,4415,1,2
7,4415,1,2
8,4415,1,2
9,4415,1,2
10,4415,1,2
10,4415,8,2
11,4415,1,2
11,4415,4,1
12,4415,1,2
12,4415,11,1
13,4415,1,2
14,4415,1,2
15,4415,1,2
16,4415,1,2
17,4415,1,2
18,4415,1,2
19,4415,1,2
1,4419,1,2
2,4419,1,2
2,4419,5,2
3,4419,1,2
4,4419,1,2
6,4419,1,1
6,4419,1,2
7,4419,1,2
7,4419,5,2
8,4419,1,2
